b'0806a8\r\n'
b'ets Jun  8 2016 00:22:57\r\n'
b'\r\n'
b'rst:0x1 (POWERON_RESET),boot:0x1L\x95\x955\n'
b'clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00\r\n'
b'mode:DIO, clock div:1\r\n'
b'load:0x3fff0018,len:4\r\n'
b'load:0x3fff001c,len:1044\r\n'
b'load:0x40078000,len:10124\r\n'
b'load:0x40080400,len:5856\r\n'
b'entry 0x400806a8\r\n'
b'1037,1405,1053,17655,0,868,1067,28478,0,603\r\n'
b'1067,2283,1083,17648,0,751,1097,28477,0,902\r\n'
b'1097,1443,1113,17664,9,935,1127,28473,0,686\r\n'
b'1127,2241,1143,17681,25,753,1157,28437,0,983\r\n'
b'1157,1503,1173,17668,15,933,1187,28424,3,716\r\n'
b'1187,2289,1203,17650,20,754,1217,28390,11,998\r\n'
b'1217,1333,1229,17671,11,753,1242,28354,11,808\r\n'
b'1242,3353,1254,17650,37,892,1267,28355,32,739\r\n'
b'1267,2226,1279,17666,42,922,1292,28377,7,981\r\n'
b'1292,169,1304,17653,48,723,1317,28413,13,1011\r\n'
b'1317,1463,1329,17655,37,818,1342,28438,28,770\r\n'
b'1342,3344,1354,17655,14,967,1368,28457,17,720\r\n'
b'1368,1091,1384,17679,5,801,1398,28417,0,968\r\n'
b'1398,2672,1414,17665,13,1001,1428,28449,0,691\r\n'
b'1428,1031,1444,17694,10,793,1458,28464,0,959\r\n'
b'1458,2647,1474,17663,9,989,1488,28460,8,700\r\n'
b'1488,1167,1500,17648,8,950,1513,28390,0,915\r\n'
b'1513,155,1525,17659,21,755,1538,28369,0,963\r\n'
b'1538,2665,1550,17654,71,876,1563,28364,2,753\r\n'
b'1563,3358,1575,17661,35,968,1588,28340,0,740\r\n'
b'1588,1058,1600,17654,0,991,1613,28337,0,967\r\n'
b'1613,170,1625,17660,15,816,1638,28344,6,975\r\n'
b'1638,2589,1650,17676,9,960,1663,28348,18,742\r\n'
b'1663,3385,1675,17664,17,1044,1688,28357,17,742\r\n'
b'1688,1098,1700,17656,21,981,1713,28381,21,967\r\n'
b'1713,176,1725,17660,0,816,1738,28413,5,957\r\n'
b'1738,2533,1751,17640,14,959,1763,28383,14,707\r\n'
b'1763,3440,1776,17657,0,1001,1789,28377,0,720\r\n'
b'1789,160,1801,17662,41,916,1814,28392,0,935\r\n'
b'1814,157,1826,17671,41,800,1839,28380,12,913\r\n'
b'1839,3415,1851,17643,30,1002,1864,28380,0,679\r\n'
b'1864,3364,1876,17656,0,1068,1889,28379,0,733\r\n'
b'1889,171,1901,17676,22,956,1914,28364,0,895\r\n'
b'1914,176,1926,17660,6,851,1939,28383,0,921\r\n'
b'1939,3456,1951,17658,29,1039,1964,28358,4,694\r\n'
b'1964,3431,1976,17656,6,1066,1989,28356,0,761\r\n'
b'1989,175,2001,17642,0,928,2014,28322,0,926\r\n'
b'2014,151,2027,17659,0,820,2039,28402,12,930\r\n'
b'2039,3502,2052,17645,6,1003,2064,28391,3,703\r\n'
b'2064,3425,2077,17648,0,1045,2089,28390,19,778\r\n'
b'2089,133,2102,17656,5,878,2114,28411,6,913\r\n'
b'2114,127,2127,17650,0,865,2139,28390,0,906\r\n'
b'2139,3472,2152,17643,5,1073,2164,28395,6,672\r\n'
b'2164,3415,2177,17638,9,1096,2190,28392,14,777\r\n'
b'2190,176,2202,17663,23,938,2215,28382,6,893\r\n'
b'2215,176,2227,17662,6,872,2240,28383,0,864\r\n'
b'2240,3472,2252,17662,10,1079,2265,28391,0,626\r\n'
b'2265,3453,2278,17675,0,1100,2290,28394,46,763\r\n'
b'2290,144,2303,17647,2,876,2315,28389,44,863\r\n'
b'2315,126,2328,17654,0,863,2340,28393,32,839\r\n'
b'2340,3469,2353,17637,0,1058,2365,28394,19,637\r\n'
b'2365,3435,2378,17663,0,1101,2390,28399,21,759\r\n'
b'2390,126,2403,17630,8,915,2415,28399,17,883\r\n'
